N;Superficie  (m2);Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio($);Fuente
1;135;3;1;1;SI;SI;COTA COTA;115000;ULTRA CASAS
2;158;3;3;1;SI;SI;CALACOTO;233000;INFOCASAS
3;111;2;3;1;SI;SI;ACHUMANI;155890;ULTRA CASAS
4;53;2;1;1;NO;NO;MIRAFLORES;83000;INFOCASAS
5;180;2;3;1;SI;SI;ACHUMANI;185000;INFOCASAS
6;107;2;1;1;SI;SI;COTA COTA;90000;ULTRA CASAS
7;100;2;2;1;SI;SI;COTA COTA;90000;INFOCASAS
8;122;2;2;1;SI;SI;ACHUMANI;138000;ULTRA CASAS
9;87;2;1;1;SI;SI;MIRAFLORES;88000;INFOCASAS
10;185;3;3;1;SI;SI;COTA COTA;180000;ULTRA CASAS
11;220;3;4;1;SI;SI;ALTO CALACOTO;320000;INFOCASAS
12;164;3;3;1;SI;SI;ALTO CALACOTO;185000;INFOCASAS
13;99;2;2;1;SI;SI;COTA COTA;125000;ULTRA CASAS
14;150;3;3;1;SI;SI;ALTO CALACOTO;230000;INFOCASAS
15;63;1;1;1;SI;NO;OBRAJES;55000;ULTRA CASAS
16;82;1;1;1;SI;SI;ACHUMANI;110700;ULTRA CASAS
17;85;2;2;1;NO;SI;COTA COTA;103000;ULTRA CASAS
18;30;1;1;1;NO;NO;OBRAJES;50000;ULTRA CASAS
19;138;3;3;1;NO;SI;ALTO CALACOTO;160000;INFOCASAS
20;108;3;2;1;SI;SI;COTA COTA;119000;ULTRA CASAS
21;44;1;1;1;NO;NO;ACHUMANI;50000;INFOCASAS
22;117;3;3;1;NO;SI;OBRAJES;152000;ULTRA CASAS
23;92;1;3;1;NO;SI;COTA COTA;110900;INFOCASAS
24;64;2;1;1;NO;NO;COTA COTA;67000;INFOCASAS
25;176;2;3;1;SI;SI;OBRAJES;180000;ULTRA CASAS
26;163;3;4;1;SI;SI;COTA COTA;250000;ULTRA CASAS
27;112;3;3;1;SI;SI;COTA COTA;135000;ULTRA CASAS
28;132;4;4;1;SI;SI;OBRAJES;154549;ULTRA CASAS
29;63;1;1;1;NO;SI;COTA COTA;85000;ULTRA CASAS
30;245;3;2;1;SI;SI;COTA COTA;220000;INFOCASAS
31;98;1;3;1;SI;NO;ACHUMANI;124000;INFOCASAS
32;84;1;2;1;SI;NO;MIRAFLORES;90000;INFOCASAS
33;60;1;1;1;NO;NO;MIRAFLORES;59000;INFOCASAS
34;103;1;3;1;SI;SI;ACHUMANI;110210;INFOCASAS
35;107;2;1;1;SI;NO;COTA COTA;99000;INFOCASAS
36;71;1;2;1;NO;NO;ALTO CALACOTO;81000;INFOCASAS
37;87;2;3;1;SI;SI;ACHUMANI;50000;ULTRA CASAS
38;139;3;4;1;SI;SI;OBRAJES;150000;ULTRA CASAS
39;220;3;3;1;SI;SI;CALACOTO;315000;INFOCASAS
40;176;2;3;1;SI;SI;ACHUMANI;118000;INFOCASAS
41;98;2;3;1;NO;SI;MIRAFLORES;118000;INFOCASAS
42;146;4;3;1;SI;SI;MIRAFLORES;185000;INFOCASAS
