N;Superficie_m2;Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio
141;149;2;3;1;SI;SI;CALACOTO;228000
142;46;1;1;1;NO;NO;ACHUMANI;420000
143;148;3;3;1;SI;SI;MIRAFLORES;220000
144;186;4;3;1;SI;SI;ALTO CALACOTO;165000
145;245;4;5;1;SI;SI;COTA COTA;220000
146;206;3;3;1;SI;SI;ALTO CALACOTO;335000
147;84;2;2;1;NO;SI;COTA COTA;81869
148;46;1;1;1;NO;NO;OBRAJES;50600
149;174;4;5;1;SI;SI;COTA COTA;165000
150;182;3;4;1;SI;SI;COTA COTA;180000
151;121;2;2;1;SI;SI;OBRAJES;145000
152;109;4;2;1;SI;SI;MIRAFLORES;106000
153;60;1;1;1;NO;NO;MIRAFLORES;59000
154;72;2;2;1;SI;SI;CALACOTO;125000
155;127;2;3;1;SI;SI;ACHUMANI;120650
156;99;2;2;1;SI;SI;ACHUMANI;132000
157;64;2;1;1;NO;NO;COTA COTA;67000
158;47;1;1;1;NO;SI;COTA COTA;62000
159;285;4;5;1;SI;SI;COTA COTA;250000
160;135;2;3;1;SI;SI;ACHUMANI;132000
161;172;3;4;1;SI;SI;COTA COTA;155000
162;148;3;1;1;SI;SI;COTA COTA;138000
163;117;2;1;1;SI;SI;ACHUMANI;114460
164;199;2;2;1;SI;SI;ACHUMANI;252000
165;416;4;3;1;SI;SI;ALTO CALACOTO;560000
166;160;2;3;1;SI;SI;OBRAJES;137000
167;199;3;3;1;SI;SI;ACHUMANI;279000
168;82;1;1;1;SI;SI;ACHUMANI;112500
169;280;3;3;1;SI;SI;CALACOTO;325000
170;166;4;3;1;SI;SI;CALACOTO;207000
171;158;2;1;1;SI;SI;ACHUMANI;158620
172;92;2;1;1;SI;SI;COTA COTA;110900
173;171;2;1;1;SI ;SI;ACHUMANI;170000
174;126;4;3;1;SI;SI;COTA COTA;120000
175;130;2;1;1;SI;SI;ACHUMANI;145000
176;160;3;3;1;SI;SI;COTA COTA;99000
177;49;1;1;1;NO;NO;ALTO CALACOTO;83000
178;130;3;3;1;SI;NO;ALTO CALACOTO;119000
179;199;2;3;1;SI;SI;ACHUMANI;251100
180;135;2;2;1;SI;SI;COTA COTA;115000
181;115;2;2;1;SI;SI;OBRAJES;130000
182;100;3;3;1;SI;NO;MIRAFLORES;135000
183;29;1;1;1;SI ;SI;ACHUMANI;58000
184;80;1;2;1;SI;NO;MIRAFLORES;110000
185;126;2;1;1;SI;NO;COTA COTA;110000
186;67;2;2;1;NO;SI;OBRAJES;80600
187;76;2;2;1;NO;SI;COTA COTA;72000
188;43;1;1;1;NO;SI;OBRAJES;48000
189;100;2;3;1;;;COTA COTA;98000
190;117;3;2;1;SI;SI;MIRAFLORES;130000
191;162;3;3;1;SI;SI;ACHUMANI;155000
192;208;3;4;1;SI;SI;COTA COTA;222000
193;175;3;3;1;SI;SI;CALACOTO;228000
194;90;2;2;1;SI;NO;COTA COTA;90000
195;50;1;1;1;NO;SI;OBRAJES;70000
196;131;2;2;1;SI;SI;ACHUMANI;135000
197;148;2;1;1;SI;SI;COTA COTA;138000
198;109;4;2;1;SI;SI;MIRAFLORES;106000
199;72;2;1;1;NO;NO;MIRAFLORES;92000
200;121;1;2;1;SI;SI;OBRAJES;145000
