N;Superficie_m2;Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio
50;46;1;1;1;SI;SI;ACHUMANI;42000
48;47;1;1;1;NO;NO;ACHUMANI;43000
107;49;1;2;1;NO;NO;COTA COTA;45500
91;44;1;2;1;NO;NO;OBRAJES;49000
18;30;1;1;1;NO;NO;OBRAJES;50000
21;44;1;1;1;NO;NO;ACHUMANI;50000
37;87;2;3;1;SI;SI;ACHUMANI;50000
15;63;1;1;1;SI;NO;OBRAJES;55000
44;66;1;1;1;NO;NO;ACHUMANI;55000
81;63;2;1;1;NO;SI;OBRAJES;55000
71;43;1;1;1;SI;SI;OBRAJES;58000
33;60;1;1;1;NO;NO;MIRAFLORES;59000
66;72;1;1;1;NO;NO;MIRAFLORES;65000
24;64;2;1;1;NO;NO;COTA COTA;67000
63;46;1;1;1;NO;NO;COTA COTA;67500
109;61;1;1;1;NO;SI;MIRAFLORES;68000
117;61;1;1;1;NO;NO;MIRAFLORES;68000
84;67;1;1;1;NO;NO;MIRAFLORES;74000
126;48;1;1;1;NO;NO;CALACOTO;78000
135;100;3;2;1;NO;NO;COTA COTA;79000
36;71;1;2;1;NO;NO;ALTO CALACOTO;81000
124;84;1;2;1;SI;NO;COTA COTA;81869
4;53;2;1;1;NO;NO;MIRAFLORES;83000
29;63;1;1;1;NO;SI;COTA COTA;85000
9;87;2;1;1;SI;SI;MIRAFLORES;88000
108;100;2;3;1;NO;NO;ACHUMANI;89000
6;107;2;1;1;SI;SI;COTA COTA;90000
7;100;2;2;1;SI;SI;COTA COTA;90000
32;84;1;2;1;SI;NO;MIRAFLORES;90000
121;87;2;2;1;NO;SI;COTA COTA;90000
69;72;2;1;1;SI;NO;MIRAFLORES;92000
72;75;2;1;1;SI;SI;MIRAFLORES;95000
88;75;2;1;1;SI;NO;MIRAFLORES;95000
111;100;3;2;1;NO;SI;COTA COTA;98100
35;107;2;1;1;SI;NO;COTA COTA;99000
87;124;2;1;1;SI;SI;ACHUMANI;100000
136;82;2;2;1;SI;SI;COTA COTA;100000
96;86;1;2;1;SI;SI;MIRAFLORES;100077
17;85;2;2;1;NO;SI;COTA COTA;103000
98;75;1;2;1;SI;NO;MIRAFLORES;103470
77;97;3;1;1;SI;SI;COTA COTA;105000
79;96;2;1;1;NO;SI;COTA COTA;105000
95;122;3;2;1;NO;SI;ALTO OBRAJES;105000
106;80;2;2;1;NO;SI;ALTO CALACOTO;108000
52;101;1;2;1;SI;NO;COTA COTA;110000
92;126;3;4;1;SI;SI;COTA COTA;110000
115;126;3;4;1;SI;SI;COTA COTA;110000
34;103;1;3;1;SI;SI;ACHUMANI;110210
16;82;1;1;1;SI;SI;ACHUMANI;110700
