N;Superficie  (m2);Dormitorios;Bao;Cocina;Garaje;Lavandera;Zona;Precio;Fuente
1;113;2;2;1;SI;SI;CALACOTO;149000;INFOCASAS
2;61;1;1;1;NO;SI;MIRAFLORES;68000;INFOCASAS
3;166;3;3;1;SI;SI;ACHUMANI;248895;ULTRA CASAS
4;150;3;3;1;SI;SI;CALACOTO;230000;INFOCASAS
5;49;1;2;1;NO;NO;COTA COTA;45500;ULTRA CASAS
6;122;3;2;1;NO;SI;ALTO OBRAJES;105000;ULTRA CASAS
7;139;3;4;1;SI;SI;OBRAJES;150000;ULTRA CASAS
8;125;3;4;1;SI;SI;OBRAJES;140000;ULTRA CASAS
9;285;4;5;1;SI;SI;COTA COTA;250000;ULTRA CASAS
10;149;3;1;1;SI;SI;COTA COTA;170000;ULTRA CASAS
11;75;2;1;1;SI;SI;MIRAFLORES;95000;INFOCASAS
12;72;2;1;1;SI;NO;MIRAFLORES;92000;INFOCASAS
13;82;2;2;1;SI;SI;COTA COTA;100000;ULTRA CASAS
14;166;4;3;1;SI;SI;CALACOTO;207000;INFOCASAS
15;126;4;3;1;SI;SI;COTA COTA;120000;ULTRA CASAS
16;174;4;5;1;SI;SI;COTA COTA;165000;ULTRA CASAS
17;122;2;2;1;SI;SI;ACHUMANI;138000;ULTRA CASAS
18;121;2;2;1;SI;SI;OBRAJES;145000;ULTRA CASAS
19;115;2;2;1;SI;SI;OBRAJES;130000;ULTRA CASAS
20;146;4;3;1;SI;NO;MIRAFLORES;185000;INFOCASAS
21;87;2;1;1;SI;SI;MIRAFLORES;88000;INFOCASAS
22;416;4;3;1;SI;SI;CALACOTO;560000;INFOCASAS
23;148;3;1;1;SI;SI;COTA COTA;138000;ULTRA CASAS
24;83;2;2;1;SI;SI;ACHUMANI;113000;ULTRA CASAS
25;199;3;3;1;SI;SI;ACHUMANI;279000;ULTRA CASAS
26;185;3;3;1;SI;SI;COTA COTA;180000;ULTRA CASAS
27;100;3;2;1;NO;SI;COTA COTA;98100;ULTRA CASAS
28;170;4;3;1;SI;SI;MIRAFLORES;180000;INFOCASAS
29;138;4;3;1;SI;SI;MIRAFLORES;155000;INFOCASAS
30;99;2;2;1;SI;SI;ACHUMANI;132000;ULTRA CASAS
31;46;1;1;1;NO;NO;OBRAJES;50600;ULTRA CASAS
32;98;2;2;1;NO;SI;MIRAFLORES;118000;INFOCASAS
33;220;3;3;1;SI;SI;CALACOTO;315000;INFOCASAS
34;112;3;3;1;SI;SI;COTA COTA;135000;ULTRA CASAS
35;126;3;4;1;SI;SI;COTA COTA;110000;ULTRA CASAS
36;107;2;1;1;SI;SI;COTA COTA;90000;ULTRA CASAS
37;182;3;4;1;SI;SI;COTA COTA;180000;ULTRA CASAS
38;200;3;3;1;SI;SI;CALACOTO;210000;INFOCASAS
39;84;2;2;1;NO;SI;COTA COTA;81869;ULTRA CASAS
40;142;3;4;1;SI;SI;COTA COTA;175500;ULTRA CASAS
41;245;4;5;1;SI;SI;COTA COTA;220000;ULTRA CASAS
42;117;3;3;1;NO;SI;OBRAJES;152000;ULTRA CASAS
43;133;3;2;1;SI;SI;ALTO OBRAJES;125000;ULTRA CASAS
44;128;3;2;1;SI;SI;MIRAFLORES;145000;INFOCASAS
45;160;3;3;1;SI;SI;COTA COTA;99000;ULTRA CASAS
46;232;4;3;1;SI;SI;CALACOTO;315000;INFOCASAS
47;208;3;4;1;SI;SI;COTA COTA;222000;ULTRA CASAS
48;108;3;2;1;SI;SI;COTA COTA;119000;ULTRA CASAS
49;117;3;2;1;SI;NO;MIRAFLORES;130000;INFOCASAS
50;199;3;3;1;SI;SI;ACHUMANI;280000;ULTRA CASAS
51;82;1;1;1;SI;SI;ACHUMANI;110700;ULTRA CASAS
52;126;3;4;1;SI;SI;COTA COTA;110000;ULTRA CASAS
53;138;3;3;1;NO;SI;CALACOTO;160000;INFOCASAS
54;100;2;3;1;NO;NO;ACHUMANI;89000;ULTRA CASAS
55;133;3;1;1;SI;SI;ACHUMANI;115000;ULTRA CASAS
56;99;2;2;1;SI;SI;COTA COTA;125000;ULTRA CASAS
57;63;2;1;1;NO;SI;OBRAJES;55000;ULTRA CASAS
58;92;2;1;1;SI;SI;COTA COTA;110900;ULTRA CASAS
59;132;4;4;1;SI;SI;OBRAJES;154549;ULTRA CASAS
60;97;3;1;1;SI;SI;COTA COTA;105000;ULTRA CASAS
61;175;3;3;1;SI;SI;CALACOTO;228000;INFOCASAS
62;98;2;3;1;NO;SI;MIRAFLORES;114000;INFOCASAS
63;158;3;3;1;SI;SI;CALACOTO;233000;INFOCASAS
64;172;3;4;1;SI;SI;COTA COTA;155000;ULTRA CASAS
65;49;1;1;1;NO;NO;CALACOTO;83000;INFOCASAS
66;221;4;3;1;SI;SI;CALACOTO;350000;INFOCASAS
67;48;1;1;1;NO;NO;CALACOTO;78000;INFOCASAS
68;137;4;3;1;SI;NO;MIRAFLORES;165000;INFOCASAS
69;111;2;3;1;SI;SI;ACHUMANI;155890;ULTRA CASAS
70;64;2;1;1;NO;NO;COTA COTA;67000;ULTRA CASAS
