N;Superficie  (m2);Dormitorios;Baño;Cocina;Garaje;Lavandería;Zona;Precio ($);Fuente
1;122;3;2;1;NO;SI;ALTO OBRAJES;105000;ULTRA CASAS
2;162;4;3;1;SI;SI;ALTO OBRAJES;120000;ULTRA CASAS
3;133;3;2;1;SI;SI;ALTO OBRAJES;125000;ULTRA CASAS
4;49;1;2;1;NO;NO;COTA COTA;45500;ULTRA CASAS
5;126;4;3;1;SI;SI;COTA COTA;120000;ULTRA CASAS
6;126;3;4;1;SI;SI;COTA COTA;110000;ULTRA CASAS
7;112;3;3;1;SI;SI;COTA COTA;135000;ULTRA CASAS
8;285;4;5;1;SI;SI;COTA COTA;250000;ULTRA CASAS
9;47;1;1;1;NO;SI;COTA COTA;62000;ULTRA CASAS
10;92;2;1;1;SI;SI;COTA COTA;110900;ULTRA CASAS
11;46;1;1;1;NO;NO;COTA COTA;67500;ULTRA CASAS
12;163;3;4;1;SI;SI;COTA COTA;250000;ULTRA CASAS
13;142;3;4;1;SI;SI;COTA COTA;175500;ULTRA CASAS
14;99;2;2;1;SI;SI;COTA COTA;125000;ULTRA CASAS
15;148;3;1;1;SI;SI;COTA COTA;138000;ULTRA CASAS
16;126;3;4;1;SI;SI;COTA COTA;110000;ULTRA CASAS
17;208;3;4;1;SI;SI;COTA COTA;222000;ULTRA CASAS
18;108;3;2;1;SI;SI;COTA COTA;119000;ULTRA CASAS
19;87;2;2;1;NO;SI;COTA COTA;90000;ULTRA CASAS
20;100;3;1;1;SI;SI;COTA COTA;105000;ULTRA CASAS
21;85;2;2;1;NO;SI;COTA COTA;103000;ULTRA CASAS
22;63;1;1;1;NO;SI;COTA COTA;85000;ULTRA CASAS
23;107;2;1;1;SI;SI;COTA COTA;90000;ULTRA CASAS
24;160;3;3;1;SI;SI;COTA COTA;99000;ULTRA CASAS
25;182;3;4;1;SI;SI;COTA COTA;180000;ULTRA CASAS
26;174;4;5;1;SI;SI;COTA COTA;165000;ULTRA CASAS
27;135;3;1;1;SI;SI;COTA COTA;115000;ULTRA CASAS
28;76;2;2;1;NO;SI;COTA COTA;72000;ULTRA CASAS
29;84;2;2;1;NO;SI;COTA COTA;81869;ULTRA CASAS
30;185;3;3;1;SI;SI;COTA COTA;180000;ULTRA CASAS
31;149;3;1;1;SI;SI;COTA COTA;170000;ULTRA CASAS
32;245;4;5;1;SI;SI;COTA COTA;220000;ULTRA CASAS
33;172;3;4;1;SI;SI;COTA COTA;155000;ULTRA CASAS
34;64;2;1;1;NO;NO;COTA COTA;67000;ULTRA CASAS
35;82;2;2;1;SI;SI;COTA COTA;100000;ULTRA CASAS
36;100;3;2;1;NO;SI;COTA COTA;98100;ULTRA CASAS
37;109;4;2;1;SI;SI;MIRAFLORES;106000;INFOCASAS
38;75;2;1;1;SI;SI;MIRAFLORES;95000;INFOCASAS
39;98;2;3;1;NO;SI;MIRAFLORES;114000;INFOCASAS
40;128;3;2;1;SI;SI;MIRAFLORES;145000;INFOCASAS
41;72;2;1;1;SI;NO;MIRAFLORES;92000;INFOCASAS
42;98;2;3;1;NO;SI;MIRAFLORES;118000;INFOCASAS
43;117;3;2;1;SI;NO;MIRAFLORES;130000;INFOCASAS
44;98;2;2;1;NO;SI;MIRAFLORES;118000;INFOCASAS
45;100;3;3;1;SI;NO;MIRAFLORES;135000;INFOCASAS
46;170;4;3;1;SI;SI;MIRAFLORES;180000;INFOCASAS
47;137;4;3;1;SI;NO;MIRAFLORES;165000;INFOCASAS
48;146;4;3;1;SI;NO;MIRAFLORES;185000;INFOCASAS
49;87;2;1;1;SI;SI;MIRAFLORES;88000;INFOCASAS
50;60;1;1;1;NO;NO;MIRAFLORES;59000;INFOCASAS
51;138;4;3;1;SI;SI;MIRAFLORES;155000;INFOCASAS
52;160;3;3;1;SI;SI;MIRAFLORES;145000;INFOCASAS
53;61;1;1;1;NO;SI;MIRAFLORES;68000;INFOCASAS
54;206;3;3;1;SI;SI;CALACOTO;335000;INFOCASAS
55;72;2;2;1;SI;SI;CALACOTO;125000;INFOCASAS
56;113;2;2;1;SI;SI;CALACOTO;149000;INFOCASAS
57;232;4;3;1;SI;SI;CALACOTO;315000;INFOCASAS
58;416;4;3;1;SI;SI;CALACOTO;560000;INFOCASAS
59;158;3;3;1;SI;SI;CALACOTO;233000;INFOCASAS
60;200;3;3;1;SI;SI;CALACOTO;210000;INFOCASAS
61;166;4;3;1;SI;SI;CALACOTO;207000;INFOCASAS
62;164;3;3;1;SI;SI;CALACOTO;185000;INFOCASAS
63;130;3;3;1;SI;SI;CALACOTO;115000;INFOCASAS
64;49;1;1;1;NO;NO;CALACOTO;83000;INFOCASAS
65;175;3;3;1;SI;SI;CALACOTO;228000;INFOCASAS
66;150;3;3;1;SI;SI;CALACOTO;230000;INFOCASAS
67;280;3;3;1;SI;SI;CALACOTO;325000;INFOCASAS
68;138;3;3;1;NO;SI;CALACOTO;160000;INFOCASAS
69;149;2;3;1;SI;SI;CALACOTO;228000;INFOCASAS
70;221;4;3;1;SI;SI;CALACOTO;350000;INFOCASAS
